"filename", "language", "JavaScript", "Log", "PHP", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\ShippingRoutePoint.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 19, 13, 79
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\ShoppingCart.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 7, 35
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\SriTransaction.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\User.php", "PHP", 0, 0, 143, 0, 0, 0, 0, 91, 31, 265
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\UserInteraction.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Models\UserStrike.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 28, 8, 68
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Policies\CategoryPolicy.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 21, 10, 67
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Policies\ProductPolicy.php", "PHP", 0, 0, 60, 0, 0, 0, 0, 81, 17, 158
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Policies\RatingPolicy.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 21, 10, 67
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\AccountingServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 8, 6, 38
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 18, 8, 63
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 20, 7, 46
